FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
0,Bengbu,32.940800000000003,117.360800000000000,17.500000000000000,0.3385940,176.3470001,-45.9953995,36.2233009,10221.7998047,274.5530090,32.5241013,1581,29,-1169870.111430000000000,-263835.768168999990000
1,Chaohu,31.600000000000001,117.866699999999990,24.800000000000001,0.5567400,183.0700073,-36.6348991,36.8101006,10225.5000000,305.7290039,24.3843994,2117,12,-1140491.590980000100000,-417506.261770999990000
2,Chizhou,30.661300000000001,117.477800000000000,34.100000000000001,0.9576530,192.4819946,-34.2612000,35.7560005,10229.7998047,88.0286026,21.6488991,2512,24,-1188171.732980000100000,-516125.522792999980000
3,Chuzhou,32.321899999999999,118.297800000000000,22.199999999999999,0.2161110,181.5899963,-49.1337013,34.8801003,10224.5000000,279.3080139,33.4025993,2463,22,-1091927.444010000000000,-342913.159963999990000
4,Datong,32.620800000000003,117.063199999999990,19.500000000000000,0.4760080,180.0639954,-38.8070984,36.9028015,10224.0000000,276.6870117,28.7563000,4064,38,-1201264.272750000000000,-295459.811917999990000
5,Gushu,31.560500000000001,118.481500000000000,24.500000000000000,1.3619601,190.8229980,-58.4817009,32.0377998,10228.0996094,288.4349976,32.2071991,2266,13,-1083963.510000000000000,-428871.509500999990000
6,Hefei,31.863900000000001,117.280800000000000,19.600000000000001,1.0386400,179.0180054,-29.0993996,38.8367996,10224.0000000,359.5350037,20.0200996,1942,22,-1191280.157150000100000,-381449.387945000020000
7,Huaibei,33.974400000000003,116.791700000000010,21.300000000000001,0.5625020,185.5130005,-75.2911987,30.1961002,10218.9003906,339.1159973,39.0612984,1781,51,-1207152.385449999900000,-143029.055618999990000
8,Huainan,32.626399999999997,116.996900000000000,20.399999999999999,0.7033070,180.5489960,-38.5261002,36.8754005,10224.2998047,274.2990112,29.0212002,2406,49,-1207239.336679999900000,-294024.184438999980000
9,Chengguanzhen,32.958900000000000,117.165700000000000,21.600000000000001,0.3508820,177.8300018,-45.4384003,36.0890007,10222.2998047,273.6749878,32.7499008,2059,20,-1187384.505679999900000,-259482.908663000010000
