date,hour,temp,humi,sunr,k_1temp,k_1sunr,load
8月1日,8,27.9,21.2,353.3,26.8,242.6,-385.7
8月1日,9,28.8,21.4,491.4,27.9,353.3,-399.2
8月1日,10,29.5,21.2,357.1,28.8,491.4,-403.7
8月1日,11,30.1,20.8,685.5,29.5,357.1,-403.3
8月1日,12,30.7,20.5,712.1,30.1,685.5,-363.8
8月1日,13,31.5,20.6,683.4,30.8,712.1,-368.3
8月1日,14,32.5,21.2,690.6,31.5,683.4,-433
8月1日,15,33.3,22.2,486.4,32.5,690.6,-467
8月1日,16,33,22.3,397.5,33.3,486.4,-465.1
8月1日,17,32.4,22.1,206.9,33.1,397.5,-461.2
8月1日,18,31.6,21.9,47.1,32.4,206.9,-447.8
8月1日,19,30.6,21.6,0,31.6,47.1,-430.2
8月1日,20,29.7,21.4,0,30.6,0,-414.3
8月2日,8,28.3,20.7,365.8,26.9,350.8,-377.3
8月2日,9,29.3,21,816.1,28.3,365.8,-397.6
8月2日,10,30,20.8,630.9,29.3,816.1,-402
8月2日,11,30.5,20.4,711.7,30,630.9,-399.4
8月2日,12,31.1,20.1,434.3,30.6,711.7,-358.2
8月2日,13,31.9,20.3,709.5,31.1,434.3,-365
8月2日,14,33,21.2,368.2,31.9,709.5,-437.9
8月2日,15,34,22.5,504.3,33,368.2,-482.1
8月2日,16,33.7,22.6,211.5,34,504.3,-481.9
8月2日,17,33.1,22.5,213.6,33.7,211.5,-477.1
8月2日,18,32.1,22.2,48.1,33.1,213.6,-461.7
8月2日,19,31.1,21.9,0,32.1,48.1,-441.9
8月2日,20,30.1,21.6,0,31.1,0,-424.3
8月3日,8,29.1,20.6,300.5,28.3,95.3,-386.5
8月3日,9,30.2,20.8,419.3,29.1,300.5,-401
8月3日,10,31.5,20.9,519.4,30.2,419.3,-419.3
8月3日,11,32.7,21,586.2,31.5,519.4,-434.1
8月3日,12,33.6,20.8,609,32.7,586.2,-400.2
8月3日,13,34,20.5,584.3,33.6,609,-391.9
8月3日,14,33.5,19.8,516.1,34,584.3,-408.5
8月3日,15,31.4,18.1,220.4,33.5,516.1,-348.7
8月3日,16,28.6,16.3,295.8,31.4,220.4,-276.1
8月3日,17,26.4,15.4,92.9,28.6,295.8,-236
8月3日,18,25.8,16,35.3,26.4,92.9,-244.7
8月3日,19,26.3,17.7,0,25.8,35.3,-290.3
8月3日,20,27.1,19.7,0,26.3,0,-348.1
8月6日,8,26.8,20.1,292.6,25.5,69.7,-304.7
8月6日,9,27.7,20.5,165.1,26.8,292.6,-310.1
