Anqing,30.5136,117.0472,52.5
Bengbu,32.9408,117.3608,40.1
Bozhou,33.8772,115.7703,35.2
Chaohu,31.6,117.8667,53.5
Chizhou,30.6613,117.4778,63.6
Chuzhou,32.3219,118.2978,55.9
Datong,32.6208,117.0632,46.7
Fuyang,32.9,115.8167,49.9
Gushu,31.5605,118.4815,63.5
Hefei,31.8639,117.2808,45.2
Huaibei,33.9744,116.7917,32.5
Huainan,32.6264,116.9969,49.4
Chengguanzhen,32.9589,117.1657,44.8
Huangshan,29.7114,118.3125,37.9
Chengguanzhen,32.3547,116.2939,55.7
Jieshou,33.2634,115.3611,44.0
Lucheng,31.2336,117.2806,54.1
Chengguanzhen,33.2661,116.5661,44.8
Mingguang,32.7802,117.9638,45.0
Suixi,33.8907,116.7747,32.9
Suzhou,33.6361,116.9789,31.7
Tangzhai,34.4328,116.5911,31.6
Wucheng,29.6008,118.1749,38.8
Wuhu,31.3373,118.3735,58.4
Wusong,30.95,117.7833,61.6
Wuyang,31.9925,116.2472,52.2
Xuanzhou,30.9525,118.7553,71.3
Chengguanzhen,32.6294,116.2701,56.8
Changping,40.2161,116.2347,6.7
Daxing,39.7403,116.3269,15.7
Fangshan,39.687,115.9966,15.4
Liangxiang,39.736,116.1329,15.4
Mentougou,39.9382,116.0931,13.4
Shunyi,40.1217,116.6478,9.7
Tongzhou,39.904,116.6618,11.7
Baoding,38.8511,115.4903,17.3
Beidaihehaibin,39.8222,119.5181,18.5
Botou,38.0667,116.5666,17.2
Cangzhou,38.3167,116.8667,18.7
Changli,39.7042,119.1506,18.1
Chengde,40.9519,117.9588,10.1
Dingzhou,38.5131,114.9956,17.1
Fengrun,39.8333,118.1167,16.8
Handan,36.6006,114.4678,36.5
Hecun,36.5333,114.1111,35.8
Hengshui,37.7322,115.7011,15.6
Langfang,39.5097,116.6947,16.0
Linshui,36.4247,114.2047,39.0
Linxi,39.7118,118.4495,18.2
Luancheng,37.8792,114.6517,20.6
Nangong,37.3581,115.3744,21.4
Pengcheng,36.4311,114.17,38.1
Qinhuangdao,39.9317,119.5883,16.2
Renqiu,38.6989,116.0936,17.2
Shahecheng,36.9383,114.5058,29.9
Shanhaiguan,40.0025,119.7489,19.2
Shijiazhuang,38.0414,114.4786,20.6
Songling,40.293,118.2691,13.9
Tangjiazhuang,39.7433,118.451,18.1
Tangshan,39.6333,118.1833,17.1
Tianchang,37.9981,114.0156,19.1
Xingtai,37.0631,114.4942,28.2
Xinji,37.9028,115.2036,17.6
Zhangjiakou,40.81,114.8794,14.5
Qu,40.6103,115.0447,15.3
Zhaogezhuang,39.7654,118.4119,17.9
Anyang,36.096,114.3828,45.9
Binhe,32.6883,112.8275,44.0
Daokou,35.5639,114.5058,36.7
Dingcheng,32.1272,115.0394,53.9
Hancheng,32.5186,112.3522,44.4
Hebi,35.8992,114.1925,32.7
Huaidian,33.4333,115.0333,43.0
Huazhou,32.6822,112.0819,43.8
Jiangguanchi,34.1282,113.8068,44.1
Jiaozuo,35.2397,113.2331,41.4
Jishui,33.7333,115.4,39.2
Kaifeng,34.7986,114.3074,41.6
Luohe,33.5639,114.0427,42.6
Luoyang,34.6836,112.4536,46.4
Minggang,32.4586,114.0486,47.3
Nangandao,35.1903,113.8015,45.2
Nanyang,32.9947,112.5328,42.5
Pingdingshan,33.7385,113.3012,51.0
Chengguanzhen,35.7051,115.0141,32.4
Runing,33.0011,114.3542,43.0
Shangqiu,34.45,115.65,36.2
Songyang,34.4553,113.0281,46.4
Wacheng,33.7833,114.5167,42.1
Chengguanzhen,33.847,113.4778,48.0
Xincheng,33.6333,115.1833,41.1
Xinyang,32.1228,114.0656,52.7
Xixiang,35.1628,112.865,41.2
Yigou,35.8114,114.3167,35.6
Yima,34.7381,111.8839,40.6
Yingchuan,34.1628,113.4639,46.0
Yunyang,33.4474,112.7142,43.9
Zhengzhou,34.7578,113.6486,46.3
Zhoukou,33.6333,114.6333,42.6
Zhumadian,32.9794,114.0294,40.7
Zijinglu,34.76,112.9714,46.2
Baoying,33.2292,119.3092,41.0
City,31.6461,120.7422,35.6
Changzhou,31.7736,119.954,50.3
Dazhong,33.1997,120.4578,30.7
Dongkan,33.9997,119.8308,32.3
Dongtai,32.8523,120.3095,35.3
Fengxian,34.7039,116.5872,31.7
Gaogou,34.0175,119.1886,38.6
Gaoyou,32.7893,119.4418,43.6
Guiren,33.6697,118.1889,34.7
Haizhou,34.5817,119.1289,29.8
Hede,33.7722,120.2618,28.9
Huai'an,33.5886,119.0192,43.9
Huilong,31.8111,121.655,25.5
Hutang,31.5343,119.49,52.9
Jiangyan,32.5061,120.1428,42.4
Jiangyin,31.911,120.263,44.6
Jinsha,32.0898,121.0735,32.1
Juegang,32.3174,121.1855,31.1
Kunshan,31.3776,120.9543,29.9
Licheng,31.4281,119.4835,51.3
Mudu,31.256,120.5186,27.7
Nanjing,32.0617,118.7778,46.0
Nantong,32.0303,120.8747,37.7
Pizhou,34.3114,117.9503,36.6
Qinnan,33.2531,119.9133,32.3
Songling,31.1933,120.7176,27.7
Suicheng,33.8963,117.9331,32.8
Suzhou,31.3041,120.5954,27.6
Taixing,32.1667,120.0136,50.1
Taizhou,32.4907,119.9081,44.7
Tongshan,34.1805,117.1571,33.1
Wuxi,31.5689,120.2886,37.6
Xiannu,32.4281,119.5605,46.4
Xiaolingwei,32.0324,118.854,48.1
Xinghua,32.9392,119.8342,38.4
Xinpu,34.5997,119.1594,28.7
Yancheng,33.3575,120.1573,27.9
Yangzhou,32.3972,119.4358,46.5
Yicheng,31.3606,119.8202,41.2
Zhangjiagang,31.865,120.5389,41.6
Zhenzhou,32.2803,119.17,50.0
Zhongxing,33.7039,118.6792,41.6
Changleng,28.7,115.8167,54.3
Fenyi,27.8112,114.668,47.1
Guixi,28.2886,117.2133,38.3
Ji'an,27.1172,114.9793,44.1
Jianguang,28.1938,115.7836,46.5
Jingdezhen,29.2947,117.2079,36.0
Jiujiang,29.7048,116.0021,55.2
Nanchang,28.684,115.8531,50.4
Pingxiang,27.6167,113.8535,44.1
